Name,Latitude,Longitude
Pedicularis_alaschanica,34.6833333333,100.683333333
Pedicularis_alaschanica,34.6766666667,100.643333333
Pedicularis_alaschanica,34.7077777778,100.244166667
Pedicularis_alaschanica,33.7277777778,99.3502777778
Pedicularis_alaschanica,33.7277777778,99.3502777778
Pedicularis_alaschanica,36.5875,100.490555556
Pedicularis_alaschanica,36.3813888889,100.878055556
Pedicularis_alaschanica,33.0102777778,97.1030555556
Pedicularis_alaschanica,32.995,97.2483333333
Pedicularis_alaschanica,33.0333333333,97.2083333333
Pedicularis_alaschanica,30.1711111111,97.3336111111
Pedicularis_alaschanica,29.7466666667,96.7091666667
Pedicularis_alaschanica,32.9944444444,98.3397222222
Pedicularis_alaschanica,32.2505555556,100.062222222
Pedicularis_alaschanica,29.4944444444,97.9438888889
Pedicularis_alaschanica,29.8719444444,97.6663888889
Pedicularis_alaschanica,30.8263888889,95.35
Pedicularis_alaschanica,30.815,95.1530555556
Pedicularis_alaschanica,31.2861111111,97.5252777778
Pedicularis_alaschanica,31.1466666667,98.1736111111
Pedicularis_alaschanica,31.13,98.1958333333
Pedicularis_aloensis,25.7,100.116666667
Pedicularis_aloensis,27.9358333333,98.6519444444
Pedicularis_alopecuros,28.94,102.248888889
Pedicularis_alopecuros,28.1194444444,101.154444444
Pedicularis_alopecuros,28.1208333333,101.141111111
Pedicularis_alopecuros,28.5227777778,99.8166666667
Pedicularis_anas,32.2997222222,96.5413888889
Pedicularis_anas,32.9177777778,97.0397222222
Pedicularis_anas,32.8791666667,97.0675
Pedicularis_anas,33.0,97.1
Pedicularis_anas,33.0463888889,96.855
Pedicularis_anas,31.7061111111,102.313888889
Pedicularis_anas,31.8502777778,102.670277778
Pedicularis_anas,29.3858333333,100.149444444
Pedicularis_anas,30.0338888889,91.2702777778
Pedicularis_anas,31.3327777778,98.1286111111
Pedicularis_anas,31.3447222222,98.0538888889
Pedicularis_anas,31.6466666667,98.3905555556
Pedicularis_anas,31.62,100.216666667
Pedicularis_anas,31.5922222222,100.377222222
Pedicularis_anas,31.4038888889,99.9661111111
Pedicularis_anas,31.4038888889,99.9661111111
Pedicularis_anas,31.4038888889,99.9661111111
Pedicularis_anas,31.4583333333,99.9777777778
Pedicularis_anas,32.5769444444,100.546666667
Pedicularis_anas,30.0477777778,101.385833333
Pedicularis_anas,30.0636111111,100.771111111
Pedicularis_anas,30.3036111111,99.5575
Pedicularis_anas,31.6247222222,100.222777778
Pedicularis_anas,30.9836111111,98.9611111111
Pedicularis_anas,32.4883333333,100.764722222
Pedicularis_anas,32.2563888889,101.194166667
Pedicularis_anas,33.2463888889,101.480555556
Pedicularis_anas,32.7241666667,102.109166667
Pedicularis_anas,32.8963888889,101.916111111
Pedicularis_anas,31.7061111111,102.313888889
Pedicularis_anas,31.7061111111,102.313888889
Pedicularis_anas,32.0458333333,102.316388889
Pedicularis_anas,32.3458333333,102.45
Pedicularis_anas,32.6708333333,102.513888889
Pedicularis_anas,32.2333333333,102.6025
Pedicularis_anas,32.4686111111,102.366666667
Pedicularis_anas,33.4136111111,102.550555556
Pedicularis_anas,33.7866666667,103.096111111
Pedicularis_anas,34.1480555556,102.572777778
Pedicularis_anas,31.1888888889,97.31
